W_A,C_A,SM_A,SM_F,SM_C,SN_A,SN_F,SN_C,C,AlternativeID
10,10,10,1,3,80,2,3,250,418
10,10,10,1,3,80,2,3,1250,419
10,10,10,1,3,80,2,3,3500,420
10,10,10,1,3,80,3,1,50,421
10,10,10,1,3,80,3,1,250,422
10,10,10,1,3,80,3,1,1250,423
10,10,10,1,3,80,3,1,3500,424
10,10,10,1,3,80,3,2,50,425
10,10,10,1,3,80,3,2,250,426
10,10,10,1,3,80,3,2,1250,427
10,10,10,1,3,80,3,2,3500,428
10,10,10,1,3,80,3,3,50,429
10,10,10,1,3,80,3,3,250,430
10,10,10,1,3,80,3,3,1250,431
10,10,10,1,3,80,3,3,3500,432
10,10,10,2,1,10,1,1,50,433
10,10,10,2,1,10,1,1,250,434
10,10,10,2,1,10,1,1,1250,435
10,10,10,2,1,10,1,1,3500,436
10,10,10,2,1,10,1,2,50,437
10,10,10,2,1,10,1,2,250,438
10,10,10,2,1,10,1,2,1250,439
10,10,10,2,1,10,1,2,3500,440
10,10,10,2,1,10,1,3,50,441
10,10,10,2,1,10,1,3,250,442
10,10,10,2,1,10,1,3,1250,443
10,10,10,2,1,10,1,3,3500,444
10,10,10,2,1,10,2,1,50,445
10,10,10,2,1,10,2,1,250,446
10,10,10,2,1,10,2,1,1250,447
10,10,10,2,1,10,2,1,3500,448
10,10,10,2,1,10,2,2,50,449
10,10,10,2,1,10,2,2,250,450
10,10,10,2,1,10,2,2,1250,451
10,10,10,2,1,10,2,2,3500,452
10,10,10,2,1,10,2,3,50,453
10,10,10,2,1,10,2,3,250,454
10,10,10,2,1,10,2,3,1250,455
10,10,10,2,1,10,2,3,3500,456
10,10,10,2,1,10,3,1,50,457
10,10,10,2,1,10,3,1,250,458
10,10,10,2,1,10,3,1,1250,459
10,10,10,2,1,10,3,1,3500,460
10,10,10,2,1,10,3,2,50,461
10,10,10,2,1,10,3,2,250,462
10,10,10,2,1,10,3,2,1250,463
10,10,10,2,1,10,3,2,3500,464
10,10,10,2,1,10,3,3,50,465
10,10,10,2,1,10,3,3,250,466
10,10,10,2,1,10,3,3,1250,467
10,10,10,2,1,10,3,3,3500,468
10,10,10,2,1,30,1,1,50,469
10,10,10,2,1,30,1,1,250,470
10,10,10,2,1,30,1,1,1250,471
10,10,10,2,1,30,1,1,3500,472
10,10,10,2,1,30,1,2,50,473
10,10,10,2,1,30,1,2,250,474
10,10,10,2,1,30,1,2,1250,475
10,10,10,2,1,30,1,2,3500,476
10,10,10,2,1,30,1,3,50,477
10,10,10,2,1,30,1,3,250,478
10,10,10,2,1,30,1,3,1250,479
10,10,10,2,1,30,1,3,3500,480
10,10,10,2,1,30,2,1,50,481
10,10,10,2,1,30,2,1,250,482
10,10,10,2,1,30,2,1,1250,483
10,10,10,2,1,30,2,1,3500,484
10,10,10,2,1,30,2,2,50,485
10,10,10,2,1,30,2,2,250,486
10,10,10,2,1,30,2,2,1250,487
10,10,10,2,1,30,2,2,3500,488
10,10,10,2,1,30,2,3,50,489
10,10,10,2,1,30,2,3,250,490
10,10,10,2,1,30,2,3,1250,491
